county,year,access_to_exercise_opps,limited_access_to_healthy_food,adult_obesity,physical_inactivity,excessive_drinking,diabetic_screening,adult_smoking,diabetes,median_household_income,population,pop_over_65,pop_under_18,access_to_recreational_facilities,access_to_healthy_foods,binge_drinking,colorectal_cancer_incidence_rate,pop_between_18_and_65
Hopewell City,2014,93.824974547,11.759096512,34.1,30.6,NA,86.1163227,35.3,12.8,39315,22348,15.151243959,16.186422393,93.824974547,20.4,11.759096512,NA,68.662333648
Lexington City,2014,100,0.080572472,28.8,23.2,NA,90.75144509,NA,9.1,40250,6998,14.747070592,25.219258994,100,18.4,0.080572472,NA,60.033670414
Lynchburg City,2014,83.500952784,12.432986334,33.1,26.5,17.1,87.84530387,24.6,10.9,37402,77113,13.804416895,10.174335524,83.500952784,18,12.432986334,58.4,76.021247581
Manassas City,2014,97.102139023,1.1010456181,29.6,23,NA,88.03418803,NA,8.7,65307,40605,7.3784016747,19.682803159,97.102139023,10.9,1.1010456181,NA,72.9387951663
Manassas Park City,2014,100,4.7600099536,30.5,25,NA,83.33333333,NA,8.3,68970,15798,6.3742245854,27.457209703,100,7.8,4.7600099536,NA,66.1685657116
Martinsville City,2014,96.136314304,10.685683295,32.3,27.8,NA,86.13013699,NA,13.5,29550,13733,20.170392485,28.26940119,96.136314304,26,10.685683295,77.9,51.560206324999996
Newport News City,2014,97.213906673,3.5159489889,33.9,25.9,17.2,83.4969612,23.2,11.2,46794,180726,11.171607848,21.735964465,97.213906673,17.3,3.5159489889,45.2,67.092427687
Norfolk City,2014,95.965041618,4.4832131404,35.2,25.5,19.1,82.61596323,26.1,9.7,41880,245782,9.4954064984,23.843276562,95.965041618,19.2,4.4832131404,39,66.6613169396
Norton City,2014,95.073269328,6.6863175845,28.3,24.3,NA,88.03418803,NA,9.9,33234,4068,14.282202557,20.723242548,95.073269328,14.1,6.6863175845,NA,64.994554895
Petersburg City,2014,92.924120913,12.716690281,37.8,32.1,NA,83.52601156,25.4,15.6,33280,31973,15.147155412,20.919370698,92.924120913,26.6,12.716690281,62.6,63.933473889999995
Poquoson City,2014,85.185185185,4.059940603,29.5,23.5,NA,86.03603604,NA,10.5,84177,12097,17.277010829,22.068620398,85.185185185,5.7,4.059940603,NA,60.654368772999995
Portsmouth City,2014,93.192023866,3.3930910016,40.1,27.7,13.7,82.59136213,23,13.8,41699,96470,13.328495905,22.220385219,93.192023866,18.9,3.3930910016,35.4,64.45111887600001
Radford City,2014,99.945148708,6.560752116,28.4,22.3,NA,92.28187919,NA,7.5,37440,16685,8.1030866047,23.820876957,99.945148708,18.7,6.560752116,NA,68.07603643830001
Richmond City,2014,85.003966427,7.8709097653,27.9,25.3,16.4,82.19563688,18.6,9.6,37933,210309,11.27341198,14.851663171,85.003966427,22.8,7.8709097653,33.5,73.874924849
Roanoke City,2014,92.887913266,10.718452708,35.6,25.6,13.1,85.83333333,26.4,10.8,37800,97469,14.447670541,19.338211869,92.887913266,17.2,10.718452708,47.6,66.21411759
Salem City,2014,78.800096766,11.114261722,28.3,27.5,NA,88.21705426,21.1,10.8,47760,24970,16.816179415,21.839764438,78.800096766,9.8,11.114261722,NA,61.344056147
Staunton City,2014,72.589067632,2.291878884,28.9,24.9,NA,85.04398827,NA,11.4,40379,23921,20.132937586,19.855826992,72.589067632,13.2,2.291878884,51.6,60.011235422
Suffolk City,2014,72.316604599,2.7774870876,32.4,26.4,16.7,85.593934290000007,19.2,11.9,61778,85181,12.235122856,19.129635049,72.316604599,13.9,2.7774870876,50.9,68.635242095
Virginia Beach City,2014,95.804965365,2.611465196,27.5,24.1,22.1,84.23149905,18.6,9,61523,447021,11.350249765,25.306112866,95.804965365,10.7,2.611465196,35,63.343637369
Waynesboro City,2014,66.642863944,5.4682961998,29.4,25.7,NA,89.82511924,NA,10.9,43883,21107,16.871180177,23.175197586,66.642863944,14.6,5.4682961998,58.7,59.953622237000005
Williamsburg City,2014,94.768268411,0.7877286824,28.6,24,NA,84.21052632,NA,9.5,44256,15167,14.768906178,23.541952907,94.768268411,19.4,0.7877286824,NA,61.68914091500001
Winchester City,2014,94.657100332,7.6692529436,29.7,26.4,NA,90.24390244,NA,10,42305,26881,14.303783341,11.68985297,94.657100332,14.9,7.6692529436,NA,74.006363689
Accomack,2015,42.54914968,1.6858734081,35,30.6,15.3,88.988095238,21.2,12.9,38064,33148,20.794618077,22.571956218,42.54914968,14.6,1.6858734081,44.2,56.63342570500001
Albemarle,2015,77.249671618,2.7320477917,25.6,19.5,13.7,91.147786947,12.4,10.3,70032,103000,15.986407767,21.171714734,77.249671618,9.8,2.7320477917,23,62.841877499
Alleghany,2015,100,4.1662967902,26.4,24.2,NA,87.628865979,24.6,10.1,44983,16161,23.531959656,21.140776699,100,10,4.1662967902,81.7,55.327263645
Amelia,2015,29.834515366,3.2853247778,34.3,29.2,NA,92.95154185,20,11.8,52055,12745,17.457826599,19.677000186,29.834515366,10.9,3.2853247778,NA,62.865173215
Amherst,2015,60.467344605,7.5797788016,30.3,28.6,NA,86.473429952,16.4,14.8,47268,32178,18.220523339,21.067085131,60.467344605,11.9,7.5797788016,50.4,60.712391530000005
Appomattox,2015,54.55152608,0.7514278596,31.1,26.6,NA,83.333333333,24.9,11,44062,15255,18.629957391,20.122443906,54.55152608,13.2,0.7514278596,NA,61.247598702999994
Arlington,2015,100,0.0842677097,17.5,13.9,18.7,85.629251701,10.1,5.3,101533,224906,9.0837950077,21.881350377,100,9.4,0.0842677097,24.7,69.03485461529999
Augusta,2015,54.768813559,2.9383926042,28.3,23.8,11.7,85.820895522,17.6,9.8,54834,73912,18.65326334,16.678078842,54.768813559,8.6,2.9383926042,34.3,64.668657818
Bath,2015,100,4.2052114449,29.6,27.5,NA,83.941605839,NA,11.6,42951,4616,24.545060659,20.073871631,100,9.3,4.2052114449,NA,55.381067709999996
Bedford County,2015,63.078804823,1.7778077116,26.9,27.2,16.6,87.660485021,19.2,10.3,56888,69825,18.633727175,16.377816291,63.078804823,8.3,1.7778077116,41.8,64.988456534
Bland,2015,99.765533411,13.818532252,30.9,25.8,NA,89.032258065,NA,11.6,41939,6735,19.153674833,20.854994629,99.765533411,9.8,13.818532252,NA,59.991330538
Botetourt,2015,81.621817304,2.9382626343,27.4,22.4,NA,86.492374728,14.3,11.8,61005,33002,19.201866554,17.371937639,81.621817304,7.1,2.9382626343,NA,63.42619580700001
Brunswick,2015,25.599403464,4.5183405643,33.6,29.3,15.8,87.608069164,29.6,12.7,37800,16973,18.246626996,20.516938367,25.599403464,20.9,4.5183405643,NA,61.236434636999995
Buchanan,2015,27.184828616,2.8574197893,28.8,27.6,NA,83.333333333,30.3,12.4,31621,23597,18.523541128,18.058092264,27.184828616,13.4,2.8574197893,NA,63.418366608
Buckingham,2015,23.504024262,4.373373055,32.4,27.7,NA,90.25974026,21.5,13.5,39538,17136,16.182306256,17.972623639,23.504024262,16.7,4.373373055,NA,65.84507010499999
Campbell,2015,65.444367456,6.2223022841,30.6,28.9,11.4,85.36977492,21.6,10,47982,55235,17.646419842,18.91923436,65.444367456,11.3,6.2223022841,35.7,63.434345797999995
Caroline,2015,59.271325977,1.0398248389,30,22.5,13,87.116564417,20.8,11.9,55760,29298,14.622158509,20.465284693,59.271325977,11.6,1.0398248389,NA,64.912556798
Carroll,2015,43.85526929,2.0595124687,30.3,29.2,12.8,87.459283388,33.3,11,36218,29883,21.212729646,23.394088334,43.85526929,12.2,2.0595124687,NA,55.39318202
Charles City,2015,23.497794928,0.5104751828,35.5,28.6,NA,89.075630252,NA,14.2,48394,7130,20.028050491,19.619850751,23.497794928,14.4,0.5104751828,NA,60.352098758
Charlotte,2015,24.28889242,14.340142159000001,31.1,24.9,NA,87.136929461,26.1,12.3,35715,12305,19.975619667,16.423562412,24.28889242,15,14.340142159000001,NA,63.600817921
Chesterfield,2015,79.752147131,6.1133806934,27.2,20.8,14.3,87.129809023000007,15.8,9.8,67454,327745,12.251598041,22.056074766,79.752147131,9.4,6.1133806934,31.4,65.69232719300001
Clarke,2015,64.115718968,0.4588095287,30.1,23.5,NA,90.769230769,NA,11.1,74384,14348,17.702815723,24.721658607,64.115718968,7.8,0.4588095287,NA,57.575525670000005
Craig,2015,96.512524085,4.161775486,32.2,25.3,NA,91.56626506,NA,11.1,45527,5210,20.268714012,21.403679955,96.512524085,8.5,4.161775486,NA,58.327606032999995
Culpeper,2015,74.488637581,0.8229752028,31.8,23.6,16.4,91.176470588,15.1,10.1,63876,48506,13.497299303,19.385796545,74.488637581,10.1,0.8229752028,NA,67.11690415199999
Cumberland,2015,36.281337047,22.159452649,32.9,25.2,NA,83.969465649,23.4,13.2,41799,9841,18.676963723,25.359749309,36.281337047,13.7,22.159452649,NA,55.963286968
Dickenson,2015,46.984845627,0.1107701162,28.7,31.8,NA,84.539473684,31.7,11.4,33386,15486,18.106676999,20.953155167,46.984845627,13,0.1107701162,NA,60.940167834
Dinwiddie,2015,45.919788579,5.6246981958,34.2,29.1,17.8,83.776351971,28.2,12.7,51864,27904,15.814936927,20.709027509,45.919788579,13,5.6246981958,NA,63.476035564
Essex,2015,21.594475832,9.0114081449,29,27.4,NA,91.063829787,NA,13.8,44427,11229,19.81476534,20.480934633,21.594475832,14.3,9.0114081449,NA,59.70430002699999
Fairfax,2015,98.946683356,1.2806623188,19.5,15.2,20.3,84.664707454,11.1,6.6,110658,1130924,11.067852482,20.642978003,98.946683356,6.7,1.2806623188,26.2,68.289169515
Fauquier,2015,68.211585357,1.1046073669,25.5,20.2,16.3,88.08411215,16.7,10.4,82705,67207,14.409213326,23.99294736,68.211585357,7,1.1046073669,30,61.597839314
Floyd,2015,42.731854179,10.803409931,29.4,24,NA,91.437308869,27.3,11.3,41652,15528,19.873776404,24.173077209,42.731854179,9.8,10.803409931,NA,55.953146387000004
Fluvanna,2015,53.224864739,2.4206464148,28.2,21.7,18.2,89.569536424,NA,10.5,63117,25977,17.573237864,20.691653787,53.224864739,7.7,2.4206464148,NA,61.73510834900001
Franklin,2015,37.10892288,7.1014697777,28.8,24,8.8,90.652173913,21.5,12.1,48070,56335,20.225437117,21.707664472,37.10892288,10.6,7.1014697777,46.9,58.066898411
Frederick,2015,68.142519635,3.0701692377,30.7,24.8,14.6,88.392857143,21.7,9.1,68166,81319,14.663239833,19.746161356000002,68.142519635,7.7,3.0701692377,42.5,65.59059881099999
Giles,2015,66.348490108,4.0015007063,34.4,28,NA,77.830188679,22.8,12,43504,16925,19.568685377,23.824690417,66.348490108,10.6,4.0015007063,NA,56.60662420599999
Gloucester,2015,58.801345705,2.1917594321,33.3,25.3,19.9,89.666136725,19.3,12.4,58824,36834,16.813270348,20.980797637,58.801345705,8.5,2.1917594321,38.5,62.205932015
Goochland,2015,65.695077589,4.4504109734,25.5,23.9,13.9,88.4375,13.5,11.4,76843,21626,18.584111717,20.4756475,65.695077589,7.2,4.4504109734,NA,60.940240783
Grayson,2015,44.685508273,6.3218735514,32.1,29.5,NA,87.616099071,22.2,11.9,33302,15161,23.336191544,19.212984371,44.685508273,12.8,6.3218735514,NA,57.450824084999994
Greene,2015,73.373906428,0,28.8,22.1,NA,90.939597315,NA,9.8,59730,18804,15.400978515,17.88140624,73.373906428,8.4,0,NA,66.71761524499999
Greensville,2015,27.084864821,2.9122828498,33.1,28.7,NA,90.566037736,18.7,13.3,38036,11886,14.554938583,24.27143161,27.084864821,19.4,2.9122828498,NA,61.173629807000005
Halifax,2015,45.975552551,11.334753893,35,28.6,10.5,88.369304556,21.1,13.8,35553,35401,21.564362589,17.154635706,45.975552551,16.9,11.334753893,35.5,61.281001705
Hanover,2015,77.779557994,2.3865808852,24.7,23.7,16.6,91.180555556,17,9.6,77316,101330,15.017270305,20.948560775,77.779557994,7.5,2.3865808852,28.2,64.03416892
Henrico,2015,94.234284132,3.7041508468,28.1,22.5,18.4,86.94963573,17,10.3,60050,318611,13.401294996,23.23398796,94.234284132,12.5,3.7041508468,41.6,63.364717043999995
Henry,2015,57.441229156,6.6475610321,30.8,34.5,10.8,86.591478697,25.7,14.6,36066,52617,21.219377768,23.568552247,57.441229156,14.8,6.6475610321,43,55.212069985
Highland,2015,40.672124084,30.448063275,28.4,26.1,NA,87.719298246,NA,12.9,38314,2215,29.255079007,20.001140316,40.672124084,8.6,30.448063275,NA,50.74378067699999
Isle of Wight,2015,68.196767791,2.5642228003,29.9,26,14.4,89.05982906,13.3,13.4,62495,35656,16.678819834,12.731376975,68.196767791,10.8,2.5642228003,NA,70.589803191
James City,2015,89.616320196,5.7636306742,24.5,19.9,9.4,89.208633094,9.2,10.7,75806,70516,22.43178853,21.073592102,89.616320196,8.9,5.7636306742,28.2,56.494619367999995
King and Queen,2015,24.233261339,4.9369576291,33.1,27,NA,90.697674419,NA,12.4,44697,7130,20.168302945,21.056214193,24.233261339,11.9,4.9369576291,NA,58.775482862000004
King George,2015,60.638568521,0,28.8,24.5,NA,87.714285714,NA,10.5,78180,24926,11.321511675,18.906030856,60.638568521,9.9,0,NA,69.772457469
King William,2015,47.097583935,2.1542317065,32,28.6,NA,91.691394659,19.8,10.5,61183,16097,13.853513077,26.554601621,47.097583935,9.7,2.1542317065,90.9,59.591885301999994
Lancaster,2015,50.118514617,0.2467166396,29.7,28.7,18.6,89.047619048,NA,13.7,46578,11148,34.230355221,23.762191713,50.118514617,12.6,0.2467166396,NA,42.007453066000004
Lee,2015,52.640012506,0.0246469025,28.5,27.2,11.4,82.566585956,25.4,10,32092,25185,18.209251539,15.473627557,52.640012506,13.8,0.0246469025,NA,66.31712090399999
Loudoun,2015,89.820083186,0.517075565,22.3,20.3,19.2,84.319526627,9.7,7.5,117680,349679,7.6384341067,19.471907882,89.820083186,5.2,0.517075565,22.9,72.8896580113
Louisa,2015,45.899315296,0.8106555892,34,25.6,14.7,90.629575403,27.7,10.8,53170,33945,16.824274562,29.761581336,45.899315296,10.5,0.8106555892,60.9,53.414144102
Lunenburg,2015,17.69397553,0.0119526234,30.1,30.8,NA,89.423076923,21.4,13.4,37712,12527,19.166600144,20.851377228,17.69397553,16.4,0.0119526234,NA,59.982022627999996
Madison,2015,45.656747821,0.6410108407,32.2,25.3,NA,92.217898833,31.2,11.2,51805,13200,19.886363636,18.575876108,45.656747821,9.8,0.6410108407,NA,61.537760256
Mathews,2015,66.4624638,0,27.5,24.1,NA,89.150943396,24.7,13.3,55128,8897,27.346296504,21.272727273,66.4624638,9.1,0,NA,51.38097622299999
Mecklenburg,2015,60.271335594,4.2582815987,33.5,27,11,89.256198347,28.6,12.9,38439,31426,23.076433526,17.174328425,60.271335594,17.3,4.2582815987,34,59.749238049
Middlesex,2015,37.923168172,0.3694374198,26,23,28.6,88.076923077,33.6,12.6,47399,10762,28.433376696,19.359765799,37.923168172,10,0.3694374198,NA,52.206857505
Montgomery,2015,77.412280702,2.3053095235,26.1,19.2,13.9,91.111111111,14.3,7.4,46024,96207,10.755974098,15.610481323,77.412280702,14.7,2.3053095235,23.9,73.633544579
Nelson,2015,47.150466045,1.8687942341,27.9,20.4,12.4,90.692124105,26.9,12.4,45990,14789,22.65197106,15.803423867,47.150466045,10.6,1.8687942341,68.3,61.54460507300001
New Kent,2015,50.898041131,6.3054e-5,31.9,23,NA,91.428571429,32.2,11.1,72150,19507,14.425590814,18.804516871,50.898041131,7.8,6.3054e-5,NA,66.76989231499999
Northampton,2015,45.064169828,0.0947996166,30.5,31.9,16.6,89.666666667,22.9,16.3,36211,12125,23.917525773,21.376941611,45.064169828,17.1,0.0947996166,NA,54.705532616000006
Northumberland,2015,35.831305758,1.3902451722,26.6,23.8,NA,90.196078431,18.5,13.5,49054,12200,33.450819672,19.562886598,35.831305758,12.1,1.3902451722,NA,46.98629373000001
Nottoway,2015,33.25553523,21.499332148,34.1,29.7,23.2,87.088607595,20.4,12.2,34805,15773,18.094211627,15.631147541,33.25553523,15.7,21.499332148,NA,66.274640832
Orange,2015,61.903766315,4.348716818,32.8,25.7,17.5,88.446215139,18.5,11.7,60829,34689,19.398080083,19.736258163,61.903766315,10.5,4.348716818,NA,60.865661754
Page,2015,80.180517428,0.6689725452,30.6,25.5,14.2,88.323917137,26.8,11.4,41070,23821,19.373661895,22.191472801,80.180517428,12.6,0.6689725452,NA,58.434865304
Patrick,2015,38.328826393,1.8789763804,29.6,24.8,12,89.631336406,19.7,12.3,34654,18368,23.62804878,20.334998531,38.328826393,12.2,1.8789763804,NA,56.036952689
Pittsylvania,2015,33.962145309,4.8512544947,33.2,27.4,9,89.608801956,22.9,13.3,40608,62426,19.474257521,18.325348432,33.962145309,12.6,4.8512544947,36.8,62.200394047
Powhatan,2015,63.702488768,2.103817196,30.6,26.3,22,89.329268293,25,10.6,74820,28259,14.943911674,19.945215135,63.702488768,7.2,2.103817196,NA,65.110873191
Prince Edward,2015,74.875898665,6.3671030034,33,27.6,NA,86.274509804,25.6,10.7,39077,22802,15.270590299,19.731766871,74.875898665,16.6,6.3671030034,NA,64.99764282999999
Prince George,2015,73.321203639,8.8729504514,35.9,26.2,17.5,81.425233645,25.2,12.5,65625,37253,11.958768421,16.643276906,73.321203639,11.3,8.8729504514,NA,71.397954673
Prince William,2015,91.110740743,3.0263895727,26.7,19.4,19,83.357621685,17.4,7.6,93671,438580,7.9153176159,21.195608407,91.110740743,7.9,3.0263895727,27.9,70.8890739771
Pulaski,2015,65.96122964,5.9162972514,31.5,26.4,14,87.940379404,30.8,10.6,43555,34507,19.926391747,28.343289708,65.96122964,11.5,5.9162972514,28.5,51.730318545
Rappahannock,2015,34.775532348,18.672896798,25.6,24.7,NA,90.395480226,NA,11.5,60945,7478,22.55950789,18.404961312,34.775532348,8.9,18.672896798,NA,59.03553079800001
Richmond,2015,28.463367193,2.4343975921,31,23.5,15.9,92.261904762,24.6,11.8,42738,8953,19.099743103,18.76170099,28.463367193,14.3,2.4343975921,NA,62.13855590699999
Roanoke,2015,80.54797783,2.9297208431,28.2,25.8,11.6,89.754535752,17.5,11.2,57663,93524,19.065694367,16.955210544,80.54797783,8.3,2.9297208431,35.6,63.97909508900001
Rockbridge,2015,64.957188327,6.357401248,26.6,29.6,17.3,85.534591195,18.2,12.7,46882,22307,23.553144753,21.070527351,64.957188327,10.3,6.357401248,NA,55.37632789600001
Rockingham,2015,63.858531855,5.5060990794,28.4,22.4,11,88.3805374,12.5,10,55636,77741,17.463114701,17.626753934,63.858531855,8.8,5.5060990794,50.5,64.91013136500001
Russell,2015,43.108281136,2.9740184622,35.4,35.9,NA,87.060998152,24.9,11.6,36107,28264,18.118454571,22.758904568,43.108281136,13,2.9740184622,NA,59.122640861
Scott,2015,47.525564137,5.1532694654,33.5,34.5,NA,90.659340659,27.8,11.9,38336,22640,20.892226148,19.639824512,47.525564137,12.3,5.1532694654,NA,59.467949340000004
Shenandoah,2015,64.68220894,2.5602200526,26.7,23.3,14.8,85.440180587,20.6,11.7,47874,42684,19.918470621,18.935512367,64.68220894,10.3,2.5602200526,49.4,61.146017012
Smyth,2015,77.412444113,3.6725694026,30.5,22.9,NA,88.32807571,22.3,10.6,37475,31652,19.392139517,21.427232687,77.412444113,13.6,3.6725694026,47.1,59.180627795999996
Southampton,2015,12.557889068,14.663404918,33.5,31,25.7,85.26645768,20.3,14.6,46547,18128,17.315754634,20.074560849,12.557889068,15.1,14.663404918,60.1,62.609684517
Spotsylvania,2015,74.169301535,5.1438139766,31.8,22.6,13.8,85.911784068,16.4,11.3,73112,127348,11.642899771,19.489187996,74.169301535,8.5,5.1438139766,32.4,68.867912233
Stafford,2015,80.231232698,2.9751055212,35.2,21.9,15.1,83.506686478,16.9,8.6,93014,136788,8.6601163845,26.031033075,80.231232698,7.6,2.9751055212,45.2,65.3088505405
Surry,2015,8.9543780108,6.6365237136,32.8,27.8,NA,93.233082707,21.2,14.1,50554,6765,18.418329638,27.072550224,8.9543780108,13.9,6.6365237136,NA,54.509120138
Sussex,2015,4.0456689005,12.181243972,34.5,27.2,NA,91.079812207,NA,13.5,38948,11810,15.791701948,18.920916482,4.0456689005,18.1,12.181243972,NA,65.28738157000001
Tazewell,2015,51.517369892,6.9251024016,30.2,30.9,10.1,84.182015168,21.1,13.1,38336,44103,18.50894497,16.028789162,51.517369892,12.3,6.9251024016,33.6,65.462265868
Warren,2015,86.0332668,1.5161638632,27.3,18.4,13.6,87.400318979,24.3,10.7,56291,38699,14.132148118,19.672131148,86.0332668,9.7,1.5161638632,NA,66.19572073399999
Washington,2015,68.702164881,3.5586900718,31.7,29.5,NA,86.516853933,23.6,11.7,42242,54907,19.50024587,22.935993178,68.702164881,10.6,3.5586900718,NA,57.563760951999996
Westmoreland,2015,11.825369543,5.1834206983,29.1,31.5,NA,87.472527473,16.9,13.4,45927,17612,22.882125823,19.400076493,11.825369543,13.1,5.1834206983,NA,57.717797684000004
Wise,2015,75.195406736,4.9730743393,31.9,37.7,10.2,86.077643909,33,13.2,37490,40589,15.238118702,18.822393822,75.195406736,14.2,4.9730743393,32.7,65.93948747600001
Wythe,2015,71.363092184,1.668570576,30.1,27.1,NA,86.516853933,24.2,11.1,41168,29344,19.158942203,20.135997438,71.363092184,11.3,1.668570576,51.9,60.705060359
York,2015,85.883844556,3.8917327907,28.3,21.4,12.7,84.843982169,7.5,9.4,78327,66269,14.01258507,20.269901854,85.883844556,8.3,3.8917327907,33.1,65.717513076
Alexandria City,2015,100,0,20.4,15.3,21.8,84.241706161,9.2,6.2,85562,148892,9.8319587352,24.353770239,100,11.9,0,24.5,65.8142710258
Bedford City,2015,93.667630987,4.5178910865,34.2,25.8,NA,85.941644562,NA,13.3,38162,5948,21.133154001,17.703436048,93.667630987,16.7,4.5178910865,NA,61.16340995099999
Bristol City,2015,96.944210821,15.49828828,29.5,23.5,NA,84.166666667,NA,11.7,35167,17341,19.572112335,20.057162071,96.944210821,15.5,15.49828828,NA,60.370725594
Buena Vista City,2015,81.413533835,40.610127099,29,23.3,NA,89.01734104,NA,10.1,36915,6680,16.886227545,19.998846664,81.413533835,13.8,40.610127099,NA,63.114925791000005
Charlottesville City,2015,100,1.3043492072,27.1,20.4,NA,100,NA,7.5,45320,44349,9.4432794426,21.526946108,100,17.9,1.3043492072,NA,69.0297744494
Chesapeake City,2015,89.04049791,3.6860494835,29.8,20.4,15.7,85.314250156,15.8,10.9,66516,230571,11.488435233,15.323908093,89.04049791,11.4,3.6860494835,30,73.187656674
Colonial Heights City,2015,99.035092757,5.5274364274,26.4,22.4,NA,NA,NA,11.3,49715,17634,19.899058637,24.668757129,99.035092757,11.2,5.5274364274,NA,55.432184234000005
Covington City,2015,100,7.7918486458,29.4,25.8,NA,NA,NA,11,33904,5818,18.545892059,23.069071113,100,15.4,7.7918486458,NA,58.385036828000004
Danville City,2015,68.087330159,6.9894898145,35.1,31.3,10.8,89.722675367,24.2,13.5,30940,42907,19.292889272,22.000687521,68.087330159,21.7,6.9894898145,52.9,58.706423207
Emporia City,2015,96.861818795,0.9794957964,33.4,28.2,NA,84.210526316,NA,13.2,32676,5588,16.964924839,22.050015149,96.861818795,26,0.9794957964,NA,60.985060012000005
Fairfax City,2015,100,0,24.2,20.2,16,84.972677596,NA,8.1,89507,23973,15.146206149,24.123120974,100,7.6,0,NA,60.730672877
Falls Church City,2015,100,0.0829295866,25.4,20.7,NA,86,NA,9.7,117452,13508,10.726976606,22.379343428,100,8.2,0.0829295866,NA,66.89367996600001
Franklin City,2015,58.517828012,22.089783738,34.4,29.6,NA,85.333333333,16.4,13.2,36326,8638,17.353554063,25.992004738,58.517828012,23.1,22.089783738,NA,56.654441199
Fredericksburg City,2015,95.515935107,6.255997575,29.9,22,NA,84.142394822,24.4,9.2,48152,28132,9.6829233613,25.457281778,95.515935107,17.6,6.255997575,NA,64.8597948607
Galax City,2015,89.889236012,1.4729500168,29.8,24.7,NA,86.034912718,NA,10.8,33737,7035,19.971570718,20.28650647,89.889236012,15.2,1.4729500168,NA,59.741922812000006
Hampton City,2015,90.99653657,5.9387865253,33.1,26.4,15.6,82.511848341,19.1,12.5,45293,136699,13.34464773,23.610518834,90.99653657,17.2,5.9387865253,35.7,63.04483343599999
Harrisonburg City,2015,88.475692031,3.7787330157,29.8,23,NA,87.5,NA,7.2,37588,51395,7.9171125596,21.813619705,88.475692031,18.5,3.7787330157,NA,70.2692677354
Hopewell City,2015,93.284936479,11.759096512,34.6,27,NA,84.990958409,35.3,15,39440,22163,15.503316338,15.91983656,93.284936479,18.8,11.759096512,60.5,68.57684710199999
Lexington City,2015,79.963078671,0.080572472,29.2,22.6,NA,NA,NA,9.3,41521,7170,14.239888424,24.906375491,79.963078671,17.7,0.080572472,NA,60.853736085
Lynchburg City,2015,87.484120263,12.432986334,29,23.5,17.1,86.795252226,24.6,11.6,39918,78014,13.953905709,11.185495119,87.484120263,18,12.432986334,34.5,74.86059917200001
Manassas City,2015,96.866820021,1.1010456181,29.5,21,NA,78.947368421,NA,8.7,70133,41705,7.5482556048,19.64647371,96.866820021,9.8,1.1010456181,NA,72.8052706852
Manassas Park City,2015,91.662579696,4.7600099536,30.6,24.1,NA,88.446215139,NA,8.5,71742,16149,6.7991826119,27.250929145,91.662579696,7.5,4.7600099536,NA,65.9498882431
Martinsville City,2015,97.597858332,10.685683295,32.1,26.9,NA,86.180124224,NA,13.7,31046,13755,20.203562341,27.110037773,97.597858332,24.3,10.685683295,NA,52.68639988599999
Newport News City,2015,91.896258833,3.5159489889,35.4,25.9,17.2,83.01535598,23.2,12.6,47421,182020,11.377870564,22.588149764,91.896258833,16.8,3.5159489889,45.1,66.03397967199999
Norfolk City,2015,95.920561113,4.4832131404,34.6,24.5,19.1,84.095677717,26.1,10.2,42949,246139,9.7034602399,23.636962971,95.920561113,18.8,4.4832131404,37.4,66.6595767891
Norton City,2015,98.585144012,6.6863175845,29.1,23.9,NA,91.056910569,NA,10,32303,4017,14.239482201,20.261315761,98.585144012,15,6.6863175845,NA,65.49920203799999
Petersburg City,2015,92.924120913,12.716690281,36.1,28.9,NA,66.666666667,25.4,16,32623,32538,15.08082857,22.056260891,92.924120913,25.4,12.716690281,46.5,62.862910539000005
Poquoson City,2015,52.263374486,4.059940603,28.3,21.6,NA,87.826086957,NA,10.9,82815,12104,17.795769993,21.510234188,52.263374486,6.1,4.059940603,NA,60.69399581900001
Portsmouth City,2015,90.525985241,3.3930910016,41.5,27.9,13.7,82.490013316,23,14.8,43041,96205,13.563744088,22.182749504,90.525985241,18.6,3.3930910016,36.5,64.253506408
Radford City,2015,100,6.560752116,29.8,19.9,NA,90.614886731,NA,7.2,34635,17184,7.9958100559,23.536198742,100,18.9,6.560752116,NA,68.46799120210001
Richmond City,2015,87.127229279,7.8709097653,29.1,22.2,16.4,84.161931818,18.6,9.7,39249,214114,11.347226244,13.169227188,87.127229279,21.7,7.8709097653,43,75.48354656800001
Roanoke City,2015,95.901352131,10.718452708,36.2,26.5,13.1,87.136294028,26.4,11.4,37223,98465,14.636672929,18.464462856,95.901352131,16.9,10.718452708,46.4,66.898864215
Salem City,2015,87.158293686,11.114261722,27.2,25.2,NA,89.296636086,21.1,10.4,47837,25299,16.862326574,21.907276697,87.158293686,11.2,11.114261722,NA,61.23039672899999
Staunton City,2015,100,2.291878884,29.4,25,NA,86.827195467,NA,11.4,39712,24350,20.188911704,19.945452389,100,13.6,2.291878884,44.7,59.86563590700001
Suffolk City,2015,71.399184253,2.7774870876,31.2,25.8,16.7,87.04,19.2,11.1,59468,85728,12.581653602,18.685831622,71.399184253,13.7,2.7774870876,38.1,68.732514776
Virginia Beach City,2015,92.095097193,2.611465196,27.6,20.7,22.1,84.679014566,18.6,8.8,62509,448479,11.847154493,25.214632325,92.095097193,10.9,2.611465196,30.5,62.938213182
