county,year,access_to_exercise_opps,limited_access_to_healthy_food,adult_obesity,physical_inactivity,excessive_drinking,diabetic_screening,adult_smoking,diabetes,median_household_income,population,pop_over_65,pop_under_18,access_to_recreational_facilities,access_to_healthy_foods,binge_drinking,colorectal_cancer_incidence_rate,pop_between_18_and_65
Suffolk City,2011,NA,NA,30.8,25.2,15.3,79.8817,19.4,10.9,57573,83659,11.6,19.3,5,42.9,14.1,41.9,69.10000000000001
Virginia Beach City,2011,NA,NA,25.1,23.1,17.5,81.0644,18.5,9.5,64979,433575,10.6,25.9,13,75,15.9,36.3,63.50000000000001
Waynesboro City,2011,NA,NA,26.8,24.9,NA,88.3621,NA,10.6,41025,22241,18.6,24.6,5,100,NA,NA,56.800000000000004
Williamsburg City,2011,NA,NA,27,22.6,NA,85.5895,NA,9,50209,12729,16.4,22.9,8,NA,NA,NA,60.699999999999996
Winchester City,2011,NA,NA,26.8,24,10.7,81.8182,NA,9.9,46588,26322,17.5,14.4,23,100,10.7,NA,68.1
Accomack,2012,NA,0.85,33.4,30.4,15.4,86.258278146,22.1,12.4,37312,38462,17.3,23.4,7.7999064011,0.85,22.2,NA,59.300000000000004
Albemarle,2012,NA,11.58,27.2,19.4,15.2,87.048192771,13.8,9.3,61845,94908,12.9,22.1,12.643823492,11.58,41.7,39.1,65
Alleghany,2012,NA,0.5294177326,25.8,25.6,11.7,87.288135593,22.2,10.4,43110,16242,19.4,21.5,6.1568772319,0.5294177326,100,NA,59.099999999999994
Amelia,2012,NA,26.67,32.6,26.1,13.2,92.696629213,26.7,11,49057,12886,15.3,21.8,7.7603600807,26.67,50,NA,62.900000000000006
Amherst,2012,NA,21.97,29.8,26,6.6,86.291739895,14.4,12,42063,32482,16.4,22.7,3.0786281633,21.97,100,NA,60.89999999999999
Appomattox,2012,NA,26.86,31.7,27.4,NA,90.517241379,NA,12.5,44479,14552,16.2,21,20.615722925,26.86,66.7,NA,62.8
Arlington,2012,NA,0.05,19.3,16.6,20.6,80.335968379,12,6.2,93231,217483,8.6,22,16.093211883,0.05,81.8,34.6,69.4
Augusta,2012,NA,0.69,26.6,26.1,10.2,85.875706215,17.3,9.8,50534,72020,14.2,16.5,6.9425159678,0.69,47.1,47.9,69.3
Bath,2012,NA,15.39,27.2,27.3,NA,92.156862745,NA,11.5,41266,4482,22,22.1,0,15.39,25,NA,55.9
Bedford County,2012,NA,21.04,25.6,29.5,13.1,88.694638695,21.2,8.9,51656,67154,13.6,18,7.4455728624,21.04,45.5,39.9,68.4
Bland,2012,NA,11.27,30.4,26,NA,86.885245902,NA,10.8,39975,6791,16.8,22.4,0,11.27,25,NA,60.800000000000004
Botetourt,2012,NA,19.28,28.8,21.8,14.2,85.287846482,11.9,10.6,63528,32551,15.7,17.9,9.2163067187,19.28,37.5,NA,66.4
Brunswick,2012,NA,4.01,36,29.4,16.5,85.906040268,26.1,13.3,36806,17514,15.6,21.3,5.7097179399,4.01,9.1,NA,63.10000000000001
Buchanan,2012,NA,0,33.7,31.9,9.8,80.64516129,27.1,13.6,29712,22860,14.2,18.1,8.7489063867,0,54.5,NA,67.69999999999999
Buckingham,2012,NA,5.41,32.8,28.4,8.3,91.397849462,NA,11.5,37568,16080,13.1,19.6,12.437810945,5.41,16.7,NA,67.30000000000001
Campbell,2012,NA,23.29,31.7,24.4,10.1,84.323432343,23.3,10.6,42158,52976,15.4,19.3,11.325883419,23.29,42.9,41.3,65.3
Caroline,2012,NA,26.94,30.9,23.8,8.9,84.517766497,NA,11,52779,27870,12.7,21.6,0,26.94,66.7,71.8,65.69999999999999
Carroll,2012,NA,1.43,30.6,30.4,9.3,90.036231884,33.2,12,34796,29034,18.6,23.5,3.4442377902,1.43,28.6,40.7,57.900000000000006
Charles City,2012,NA,27.22,33.7,31.6,NA,73.913043478,NA,14,45916,7217,18.2,19.7,0,27.22,100,NA,62.099999999999994
Charlotte,2012,NA,12.48,30.5,27.1,5.8,88.235294118,24.8,12.1,33899,12039,19.2,18.3,8.3063377357,12.48,30,NA,62.5
Chesterfield,2012,NA,6.16,26.9,21.6,14.6,86.045740802,17.5,9,69190,306670,8,22.5,12.065086249,6.16,75,39.5,69.5
Clarke,2012,NA,10.66,28.4,24.7,13.8,78.68852459,NA,10.5,67962,14588,16.2,26.5,6.8549492734,10.66,40,NA,57.3
Craig,2012,NA,22.66,27,26.2,NA,88.421052632,NA,9.6,44882,4969,15.9,21.2,0,22.66,100,NA,62.89999999999999
